,name,Calc,Smiles,path_l_geom,path_l_freq,notes
0,superoxide,superoxide,[O][O-],/superoxide,/superoxide, 
1,water,water,O,/water,/water, 
2,O2,O2,[O][O],/O2,/O2, 
3,OOH_rad,OOH_rad,[O][OH],/OOH_rad,/OOH_rad, 
4,5hydroxy4oxo2pentenal_hyd,5hydroxy4oxo2pentenal_hyd,OCC(=O)/C=C\C(O)O,/5hydroxy4oxo2pentenal_hyd,/5hydroxy4oxo2pentenal_hyd, 
5,formic_acid,formic_acid,C(O)=O,/formic_acid,/formic_acid, 
6,methyldiol_radical,methyldiol_radical,[CH](O)O,/methyldiol_radical,/methyldiol_radical, 
7,pentane_dicarbonyl_2peroxyl_dir_corr,pentane_dicarbonyl_2peroxyl_dir_corr,C(O)C(=O)CC(O[O])C(O)O,/pentane_dicarbonyl_2peroxyl_dir_corr,/pentane_dicarbonyl_2peroxyl_dir_corr, 
8,formaldehyde,formaldehyde,C=O,/formaldehyde,/formaldehyde, 
9,pentane_dicarbonyl_hydrate_2peroxyl_intraHT,pentane_dicarbonyl_hydrate_2peroxyl_intraHT,[CH](O)C(=O)CC(OO)C(O)O,/pentane_dicarbonyl_hydrate_2peroxyl_intraHT,/pentane_dicarbonyl_hydrate_2peroxyl_intraHT, 
10,pentenal_14_alpha_beta_O2m_add,pentenal_14_alpha_beta_O2m_add,OC/C([O-])=C\C(O[O])C(O)O,/pentenal_14_alpha_beta_O2m_add,/pentenal_14_alpha_beta_O2m_add, 
11,dioxo_hydroperoxy_pentenal,dioxo_hydroperoxy_pentenal,C(=O)C(=O)CC(OO)C(O)O,/dioxo_hydroperoxy_pentenal,/dioxo_hydroperoxy_pentenal, 
12,2oxo_1155_tetrahydroxy_4hydroperoxy_pentane,2oxo_1155_tetrahydroxy_4hydroperoxy_pentane,OC(O)C(=O)CC(OO)C(O)O,/2oxo_1155_tetrahydroxy_4hydroperoxy_pentane,/2oxo_1155_tetrahydroxy_4hydroperoxy_pentane, 
13,tetrahydroxy_hydroperoxy_butane_oxyl,tetrahydroxy_hydroperoxy_butane_oxyl,OC(O)C(O)(OO)CC([O])O,/tetrahydroxy_hydroperoxy_butane_oxyl,/tetrahydroxy_hydroperoxy_butane_oxyl, 
14,hydronium_H2O,hydronium_H2O,O.[OH3+],/hydronium_H2O,/hydronium_H2O, 
16,pentenal_HT_hydroperoxyl_O2m_add,pentenal_HT_hydroperoxyl_O2m_add_protonate,OC(O)C(O)(O[O])CC(OO)C(O)O,/pentenal_HT_hydroperoxyl_O2m_add,/pentenal_HT_hydroperoxyl_O2m_add_protonate, 
17,trihydroxy_hydroperoxy_propane_oxyl,trihydroxy_hydroperoxy_propane_oxyl,OC(O)C(O)(OO)C([O]),/trihydroxy_hydroperoxy_propane_oxyl,/trihydroxy_hydroperoxy_propane_oxyl, 
18,dioxo_hydroperoxy_pentenal_hydrate_oxyl,dioxo_hydroperoxy_pentenal_hydrate_oxyl,OC(O)C(O)(OO)CC([O])C(O)O,/dioxo_hydroperoxy_pentenal_hydrate_oxyl,/dioxo_hydroperoxy_pentenal_hydrate_oxyl, 
20,tetrahydroxy_hydroperoxy_butane_peroxyl,tetrahydroxy_hydroperoxy_butane_peroxyl,OC(O)C(O)(OO)CC(O[O])O,/tetrahydroxy_hydroperoxy_butane_peroxyl,/tetrahydroxy_hydroperoxy_butane_peroxyl, 
21,glyoxylic_acid_rad,glyoxylic_acid_rad,O[C](O)C(O)=O,/glyoxylic_acid_rad,/glyoxylic_acid_rad, 
22,glyoxylic_acid_peroxyl_rad,glyoxylic_acid_peroxyl_rad,OC(O[O])(O)C(O)=O,/glyoxylic_acid_peroxyl_rad,/glyoxylic_acid_peroxyl_rad, 
23,dioxo_hydroperoxy_pentenal_hydrate_intraHT,dioxo_hydroperoxy_pentenal_hydrate_intraHT,OC(O)C(O)(OO)CC(O[O])C(O)O,/dioxo_hydroperoxy_pentenal_hydrate_intraHT,/dioxo_hydroperoxy_pentenal_hydrate_intraHT, 
24,pentenal_HT_O2_add,pentenal_HT_O2_add,C(O[O])(O)C(=O)CC(OO)C(O)O,/pentenal_HT_O2_add,/pentenal_HT_O2_add, 
25,trihydroxy_hydroperoxy_propanyl,trihydroxy_hydroperoxy_propanyl,OC(O)C(O)(OO)[CH2],/trihydroxy_hydroperoxy_propanyl,/trihydroxy_hydroperoxy_propanyl, 
26,pentane_dicarbonyl_hydrate_2peroxyl,pentane_dicarbonyl_hydrate_2peroxyl,OCC(=O)CC(O[O])C(O)O,/pentane_dicarbonyl_hydrate_2peroxyl,/pentane_dicarbonyl_hydrate_2peroxyl, 
27,trihydroxy_hydroperoxy_propane_peroxyl,trihydroxy_hydroperoxy_propane_peroxyl,OC(O)C(O)(OO)C(O[O]),/trihydroxy_hydroperoxy_propane_peroxyl,/trihydroxy_hydroperoxy_propane_peroxyl, 
29,oxalic_acid,oxalic_acid,OC(=O)C(O)=O,/oxalic_acid,/oxalic_acid, 
34,water,water,O,/water,/water, 
37,water_dimer,water_dimer,O.O,/water_dimer,/water_dimer, 
38,butanal,butanal,OC(O)C(O)(OO)CC(=O),/butanal,/butanal, 
42,dihydroxymethyl_peroxyl_rad,dihydroxymethyl_peroxyl_rad,C(O)(O)O[O],/dihydroxymethyl_peroxyl_rad,/dihydroxymethyl_peroxyl_rad, 
44,glyoxylic_OH_form_complex,glyoxylic_OH_form_complex,OC(O)C(O)=O.[OH].C=O,/glyoxylic_OH_form_complex,/glyoxylic_OH_form_complex, 
52,dioxo_hydroperoxy_pentenal_hydrate_OOH_add_via_O2m,dioxo_hydroperoxy_pentenal_hydrate_OOH_add_via_O2m,OC(O)C([O-])(O[O])CC(OO)C(O)O,/dioxo_hydroperoxy_pentenal_hydrate_OOH_add_via_O2m,/dioxo_hydroperoxy_pentenal_hydrate_OOH_add_via_O2m,
53,butanal_O2m_add,butanal_O2m_add,OC(O)C(O)(OO)CC([O-])(O[O]),/butanal_O2m_add,/butanal_O2m_add,